V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,id,Q17_1,Q17_2,Q17_3,Q17_4,Q1,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q5_1,Q5_2,Q5_3,Q5_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q6_1,Q6_2,Q6_3,Q6_4,Q7,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9_1,Q9_2,Q9_3,Q9_4,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13_1,Q13_2,Q13_3,Q13_4,Q14,LocationLatitude,LocationLongitude,LocationAccuracy
R_3G8GWdujjD5x3Gk,Default Response Set,Anonymous,,,37,0,7/31/17 0:09,7/31/17 0:18,1,,6.569,8.232,10.603,2,1,3.599,390.111,391.544,2,1,4.959,60.9,61.885,19,7,5,5,7,5,7,7,6,3,6,7,7,6,5,7,2.225,2.225,3.31,1,1,14.235,14.235,15.591,1,4,6,4,1,6,2,7,2,7,1,3,6,1,5,6,2.182,2.182,3.829,1,2,1.821,32.011,33.229,19,5,7,2,6,5,3,3,5,4,2,4,1,2,7,3,1.528,1.528,2.564,1,3,,,-1
R_vAeM7PJaiEwc88x,Default Response Set,Anonymous,,,38,0,7/24/17 14:48,7/24/17 14:49,0,,2.066,2.066,3.057,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_1NDieA2pN3ZG7Ta,Default Response Set,Anonymous,,,39,0,7/31/17 22:09,7/31/17 22:15,1,,2.444,2.444,4.082,1,1,3.08,3.08,165.368,1,1,7.161,56.737,57.875,16,6,3,4,6,5,4,6,4,5,5,4,6,2,6,7,2.168,2.168,3.51,1,1,4.083,48.232,50.4,18,2,6,2,2,3,2,7,3,5,6,4,5,4,5,1,2.157,2.157,3.208,1,3,0,0,53.489,0,3,3,5,7,6,2,7,5,5,7,2,6,1,5,4,3.15,3.15,4.932,1,2,37.17019653,-93.32969666,-1
R_Ut0t5Bcbhx2Hozf,Default Response Set,Anonymous,,,40,0,7/25/17 15:41,7/25/17 15:42,0,,4.967,4.967,5.792,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_1IgBEhxJSWtZwYI,Default Response Set,Anonymous,,,41,0,7/25/17 16:45,7/25/17 16:45,0,,3.255,4.063,4.572,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_33eujRN3Gzk20fU,Default Response Set,Anonymous,,,42,0,8/1/17 20:11,8/1/17 20:16,1,,5.044,5.044,8.699,1,1,4.942,29.228,157.123,2,1,8.085,48.437,49.388,16,6,6,5,7,7,7,7,6,6,6,5,7,7,6,7,1.386,1.386,2.639,1,1,17.73,38.6,40.544,11,7,5,5,6,5,7,2,4,6,3,1,1,1,3,2,1.982,1.982,3.151,1,3,0,0,6.921,0,7,5,4,6,3,6,6,6,6,7,6,2,4,6,2,2.028,2.028,3.134,1,2,42.06039429,-91.58580017,-1
R_1RB86R5h7kqlIZz,Default Response Set,Anonymous,,,21,0,7/25/17 16:24,7/25/17 20:27,0,,0,0,4.512,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_1Ebo11gjzNLYOBD,Default Response Set,Anonymous,,,22,0,7/25/17 21:30,7/25/17 21:36,0,,0,0,5.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_12RMvhT6NfOFmuV,Default Response Set,Anonymous,,,6,0,7/24/17 14:38,7/26/17 10:43,0,,4.269,4.269,7.909,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_3sgBktpku93GaRO,Default Response Set,Anonymous,,,43,0,7/31/17 11:53,8/2/17 14:06,1,,17.64,17.64,19.183,1,1,186.689,186.689,189.174,1,1,15.392,60.601,62.672,16,6,7,7,7,7,7,7,6,6,7,6,6,7,6,7,1.822,1.822,3.104,1,1,7.579,23.59,27.974,18,5,1,3,4,2,5,7,6,1,2,5,3,1,7,3,2.374,2.374,3.962,1,3,3.495,35.918,49.569,19,3,3,2,1,3,5,1,2,4,6,5,7,2,6,6,2.229,2.229,3.746,1,2,39.00500488,-94.24990082,-1
R_cIr33Z9rL4ranMR,Default Response Set,Anonymous,,,44,0,8/3/17 10:49,8/3/17 10:56,1,,0,0,3.731,0,,10.296,10.296,200.399,1,,7.81,46.466,48.191,16,6,5,6,6,5,5,5,5,6,6,6,5,6,5,7,1.497,1.497,2.64,1,1,1.746,20.404,22.065,16,1,5,5,4,4,4,7,1,4,3,3,7,6,2,4,1.488,1.488,2.188,1,3,10.451,10.451,21.611,1,1,3,3,5,5,7,4,2,4,4,2,7,7,7,2,1.466,1.466,2.616,1,2,34.91799927,-89.82160187,-1
R_3qdoMvfX5dhYIKz,Default Response Set,Anonymous,,,45,0,8/3/17 22:23,8/3/17 22:35,1,,316.791,316.791,318.433,1,1,275.837,275.837,278.004,1,1,11.571,73.084,74.155,17,6,7,5,6,5,6,7,4,3,6,7,7,7,3,7,1.346,1.346,2.833,1,1,2.906,19.449,24.973,15,3,3,2,2,5,1,6,4,7,3,6,1,6,5,4,2.299,2.299,3.668,1,3,0,0,15.789,0,5,4,4,2,6,2,2,6,5,1,3,5,6,5,4,2.158,2.158,4.462,1,2,37.14889526,-93.26139832,-1
R_1NlkGv62OxfToJL,Default Response Set,Anonymous,,,46,0,7/27/17 23:11,7/27/17 23:16,0,,6.019,6.019,7.205,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_33fIfTZIZqUAZUp,Default Response Set,Anonymous,,,46,0,7/27/17 23:16,7/27/17 23:19,0,,3.884,3.884,5.822,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_2Yy7SoecMwBuh9a,Default Response Set,Anonymous,,,47,0,7/28/17 7:42,7/28/17 7:47,0,,2.724,3.368,4.874,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_1CpfjkkEZUTQXvQ,Default Response Set,Anonymous,,,48,0,8/4/17 23:36,8/4/17 23:46,1,,5.291,8.055,9.874,2,1,5.379,304.823,308.558,4,1,6.3,64.048,65.256,17,5,6,3,5,6,6,7,5,4,6,6,5,5,5,7,2.06,2.06,4.038,1,1,6.149,56.45,58.168,18,4,4,5,3,4,6,7,4,3,2,5,3,4,2,5,2.468,2.468,3.958,1,3,5.936,48.504,49.987,20,1,3,7,4,4,5,4,5,4,2,3,7,5,2,6,7.702,7.702,9.765,1,2,37.81460571,-90.55210114,-1
R_2wN2WLj34rCbr0e,Default Response Set,Anonymous,,,49,0,7/29/17 11:31,7/29/17 11:33,0,,7.649,7.649,9.293,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_OBweh4CdaPl8QMN,Default Response Set,Anonymous,,,50,0,7/29/17 21:17,7/29/17 21:18,0,,3.845,3.845,5.569,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_21jnLgiUb2Qf7gZ,Default Response Set,Anonymous,,,39,0,7/31/17 22:06,7/31/17 22:06,0,,2.866,2.866,4.195,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_21nO6EMvufmlO5L,Default Response Set,Anonymous,,,51,0,8/3/17 18:57,8/3/17 18:57,0,,4.123,4.123,5.888,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_uxeA3nUU4LFcWtj,Default Response Set,Anonymous,,,50,0,7/27/17 22:16,8/4/17 10:59,0,,3.704,10.497,11.291,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_0pr4B7sXIlA2J2h,Default Response Set,Anonymous,,,52,0,8/4/17 21:00,8/4/17 21:08,0,,7.766,7.766,24.391,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_3lrGgv3DrW9gbcr,Default Response Set,Anonymous,,,53,0,8/5/17 0:55,8/5/17 1:00,0,,2.386,37.767,41.339,12,,263.985,264.007,265.127,2,1,,,,,,,,,,,,,,,,,,,,,,,,,3.28,22.098,22.807,41,3,6,2,6,7,5,7,2,4,4,6,4,6,6,1,1.659,1.665,2.311,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,-1
R_3e3OUnkG4Au4psp,Default Response Set,Anonymous,,,54,0,8/27/17 16:47,8/27/17 16:51,1,46491,19.255,19.255,20.653,1,1,6.683,6.683,145.401,1,1,1.446,6.186,6.201,3,,,,,,,,,,,2,,,,,0.942,0.942,1.915,1,3,3.251,8.199,8.216,2,,,,,,,,,,3,,,,,,1.319,1.319,2.141,1,2,0.734,5.552,5.561,2,,,,,,,,,,2,,,,,,0.836,1.939,2.355,2,3,37.21899414,-93.31759644,-1
R_3lsikMXXnqagVWq,Default Response Set,Anonymous,,,55,0,8/27/17 17:19,8/27/17 17:25,1,53859,17.023,17.023,20.531,1,1,162.832,162.832,164.558,1,1,9.113,92.542,96.075,17,7,6,5,5,1,6,6,7,3,3,4,1,1,5,7,3.178,3.178,4.306,1,1,3.887,38.338,39.309,24,3,4,7,2,2,4,2,3,4,4,4,6,5,4,3,2.221,2.221,3.019,1,3,12.079,12.079,17.426,1,4,4,7,2,6,5,1,4,3,7,3,4,3,7,3,2.032,2.032,3.123,1,2,37.11680603,-93.32129669,-1
R_2ylKM8sx7a99rai,Default Response Set,Anonymous,,,56,0,8/27/17 17:48,8/27/17 17:53,1,51675,4.182,30.375,32.191,3,1,2.591,122.728,126.077,2,1,7.936,32.732,33.612,17,7,7,1,2,5,3,3,3,2,4,7,5,6,1,3,1.861,1.861,3.431,1,3,3.285,40.805,41.697,16,6,7,6,5,6,7,7,6,7,6,7,7,7,6,7,5.011,5.011,6.537,1,1,3.125,20.916,21.964,3,5,5,3,5,7,5,1,5,2,6,6,5,5,3,6,2.117,2.117,3.264,1,2,37.21530151,-93.29820251,-1
R_PCIAlh7C0femLGp,Default Response Set,Anonymous,,,57,0,8/27/17 19:02,8/27/17 19:09,1,53256,32.446,32.446,34.13,1,1,203.113,203.113,205.824,1,1,2.902,42.054,43.938,26,6,2,4,4,2,5,6,2,6,2,6,1,4,2,3,1.824,1.824,3.339,1,3,0,0,18.503,0,7,7,3,5,2,3,1,3,3,2,2,2,6,4,3,1.945,1.945,4.009,1,2,8.764,67.759,68.727,15,6,6,5,4,6,6,7,5,3,2,3,7,4,6,7,2.089,2.089,4.234,1,1,37.21530151,-93.29820251,-1
R_3KNIMzY0qBLbR07,Default Response Set,Anonymous,,,58,0,8/27/17 19:14,8/27/17 19:23,1,53064,14.181,37.085,61.92,5,1,8.08,191.078,193.833,4,1,7.867,132.689,134.32,20,5,3,4,1,6,4,4,6,5,4,1,7,3,5,7,2.273,2.273,3.78,1,1,3.071,60.406,62.003,20,7,3,4,6,3,1,5,5,7,1,3,1,1,3,5,2.222,2.222,23.548,1,3,3.139,19.978,22.212,4,6,5,3,3,5,3,5,6,1,1,5,7,7,7,4,2.561,2.561,4.405,1,2,37.21530151,-93.29820251,-1
R_2rBzS0XpZf6sTdr,Default Response Set,Anonymous,,,59,0,8/27/17 18:59,8/27/17 20:26,1,53562,4.286,8.349,9.911,12,1,4.405,261.744,292.979,59,1,7.318,103.443,105.178,22,6,6,2,4,6,7,6,6,6,6,6,7,7,7,7,3.071,3.071,5.16,1,1,9.52,43.773,45.368,17,4,7,4,3,1,5,3,4,2,7,2,2,7,1,6,4.6,4.6,6.573,1,3,10.338,10.338,11.997,1,6,6,7,4,4,7,7,6,3,4,4,7,6,2,7,3.342,3.342,6.414,1,2,41.84829712,-87.65170288,-1
R_w1nxAqlEacpAMcV,Default Response Set,Anonymous,,,60,0,8/27/17 21:16,8/27/17 21:24,1,52983,2.897,4.33,5.599,2,1,129.84,364.789,368.142,4,1,1.96,18.775,19.786,16,6,1,2,5,6,7,3,4,4,5,4,4,2,7,5,1.903,1.903,3.335,1,3,14.476,14.476,15.439,1,3,3,7,1,2,2,5,7,6,7,7,4,4,4,2,1.91,1.91,3.08,1,2,5.368,71.365,72.241,19,6,5,4,5,5,6,5,5,3,5,4,5,5,5,7,2.229,2.229,3.449,1,1,37.11680603,-93.32129669,-1
R_1g2xKpMwMJ3eNsj,Default Response Set,Anonymous,,,61,0,8/27/17 22:07,8/27/17 22:16,1,52041,3.836,3.836,5.012,1,1,10.366,10.366,317.085,1,1,37.91,44.608,72.368,5,7,7,6,4,7,2,7,2,1,1,3,5,3,6,3,2.801,2.801,6.09,1,2,9.065,32.628,35.156,15,1,4,5,4,3,2,3,6,4,3,7,6,1,5,7,4.399,4.399,7.583,1,3,15.686,91.541,92.951,15,7,7,3,7,3,7,6,7,7,7,5,7,6,6,7,2.848,2.848,5.923,1,1,37.02709961,-93.31929779,-1
R_2Cq5dJDloqhQHiU,Default Response Set,Anonymous,,,62,0,8/28/17 5:21,8/28/17 5:34,1,53508,103.822,103.822,149.39,1,1,447.663,447.663,448.683,1,1,21.148,81.532,84.465,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4.961,4.961,6.71,1,1,17.851,34.515,43.375,18,2,3,4,4,6,5,3,2,6,5,3,3,4,2,2,3.301,3.301,5.012,1,3,0,0,62.07,0,5,5,2,3,6,4,7,5,6,6,7,6,3,2,1,1.961,1.961,3.644,1,2,37.21899414,-93.31759644,-1
R_2SkxtGF5vAhsuzv,Default Response Set,Anonymous,,,63,0,8/28/17 8:22,8/28/17 8:28,1,53240,5.443,5.443,7.698,1,1,159.775,159.775,268.431,1,1,6.842,37.128,38.267,15,6,7,6,7,7,6,7,6,6,7,6,7,6,6,7,2.276,2.276,3.137,1,1,1.905,29.576,30.916,16,5,3,6,3,1,3,2,2,4,5,7,6,1,4,4,1.92,1.92,3.376,1,3,10.809,41.878,42.778,15,6,7,6,7,7,6,7,6,6,7,6,6,6,6,7,1.748,1.748,2.822,1,2,37.21899414,-93.31759644,-1
R_etgXJe50B2d1yVP,Default Response Set,Anonymous,,,64,0,8/28/17 11:37,8/28/17 11:49,1,53236,2.779,2.779,3.861,1,1,3.038,3.038,187.79,1,1,9.957,59.702,60.485,16,5,7,6,7,6,7,5,5,6,7,7,6,7,7,7,6.696,6.696,15.63,1,1,14.924,87.269,88.69,17,3,2,7,2,2,4,4,6,3,4,4,7,6,4,5,1.659,1.659,2.785,1,3,8.412,139.053,146.006,7,3,5,5,6,2,6,5,1,4,6,6,1,6,6,3,2.405,2.405,3.384,1,2,37.21530151,-93.29820251,-1
R_2cjyoeYKDb64p11,Default Response Set,Anonymous,,,65,0,8/28/17 12:43,8/28/17 12:52,1,52980,4.358,5.706,7.504,2,1,30.618,93.057,282.042,4,1,6.662,40.466,41.116,18,6,7,3,6,6,7,5,7,7,7,6,6,6,7,7,1.958,1.958,3.029,1,1,2.007,15.95,17.549,16,1,6,4,3,5,3,2,4,3,6,7,1,5,3,2,1.967,1.967,2.956,1,3,8.57,21.27,22.309,2,6,1,4,3,6,7,3,5,7,6,4,4,3,3,5,3.629,3.629,5.732,1,2,37.21530151,-93.29820251,-1
R_3JauWJ29bDrHcxH,Default Response Set,Anonymous,,,66,0,8/28/17 13:29,8/28/17 13:34,1,53249,2.334,2.334,3.454,1,1,173.994,173.994,175.55,1,1,7.128,48.21,49.259,16,5,5,6,6,5,6,7,6,5,6,5,7,6,7,7,2.509,2.509,3.835,1,1,2.787,29.088,30.344,20,2,6,4,3,1,4,2,3,2,3,7,5,1,4,2,1.937,1.937,3.374,1,3,0,0,17.793,0,5,3,5,1,3,4,6,6,7,5,7,3,5,6,4,1.12,1.12,2.121,1,2,37.21530151,-93.29820251,-1
R_T4TXi9pdPHKmtbz,Default Response Set,Anonymous,,,67,0,8/28/17 13:27,8/28/17 13:46,1,53048,3.811,3.811,5.976,1,1,1.66,214.717,618.011,40,1,6.577,50.196,51.467,15,5,6,4,7,3,5,6,5,5,7,6,6,7,6,7,2.703,2.703,4.635,1,1,6.096,37.311,39.054,18,5,4,5,2,5,7,6,4,1,4,2,3,1,3,7,3.02,3.02,5.14,1,3,0,0,22.202,0,5,3,1,5,7,6,1,1,7,4,7,6,4,1,4,3.525,3.525,5.15,1,2,37.21530151,-93.29820251,-1
R_3G9xhPgFPEbzJTP,Default Response Set,Anonymous,,,68,0,8/28/17 14:44,8/28/17 14:50,1,53051,6.653,23.404,25.63,2,1,202.562,202.562,204.072,1,1,7.07,78.34,79.148,18,6,7,5,6,4,6,5,5,5,6,6,6,7,5,7,2.11,2.11,3.338,1,1,4.624,18.845,19.67,15,4,2,6,5,5,2,7,6,1,4,3,4,7,1,3,2.648,2.648,3.745,1,3,0,0,12.53,0,3,5,4,6,2,6,6,5,2,4,3,7,6,6,5,1.858,1.858,2.767,1,2,37.21530151,-93.29820251,-1
R_1mk2dE3PmPuuA0r,Default Response Set,Anonymous,,,57,0,8/28/17 14:40,8/28/17 14:53,1,53245,2.275,2.275,3.841,1,1,4.714,255.786,433.982,14,1,0.877,127.075,128.275,17,6,7,7,6,6,7,7,7,6,7,7,7,7,6,7,2.415,2.415,4.972,1,1,4.308,22.023,23.368,16,5,3,5,6,4,5,1,6,6,4,4,3,5,4,3,2.39,2.39,4.092,1,3,65.235,65.235,70.066,1,7,6,4,7,1,4,2,4,5,7,7,4,6,5,3,2.199,2.199,3.853,1,2,37.21530151,-93.29820251,-1
R_3La2NmzNC54SIE1,Default Response Set,Anonymous,,,69,0,8/28/17 15:01,8/28/17 15:08,1,53234,10.113,10.113,11.695,1,1,48.762,48.762,227.123,1,1,10.889,86.626,87.55,15,2,2,3,4,3,2,1,2,6,4,2,2,2,2,1,4.643,4.643,7.759,1,1,4.28,26.346,27.389,17,6,5,2,4,6,3,5,3,2,1,7,1,4,2,4,2.534,2.534,3.607,1,3,3.088,3.088,8.072,1,4,1,1,1,7,4,4,5,1,4,7,1,6,4,6,2.868,2.868,5.036,1,2,37.20610046,-93.30319977,-1
R_2dgYDGKPAd2DDvY,Default Response Set,Anonymous,,,70,0,8/28/17 17:24,8/28/17 17:35,1,51971,79.426,81.979,82.049,5,1,1.687,30.937,171.579,28,1,9.184,45.836,47.198,49,6,7,6,7,6,7,7,7,5,7,6,6,5,7,7,2.108,2.118,3.252,2,1,2.628,33.075,34.606,47,4,5,5,2,4,7,5,4,3,1,3,6,3,3,3,1.678,1.688,2.781,2,3,2.348,197.37,198.39,55,7,7,4,7,7,6,6,7,6,7,5,4,7,7,7,8.643,8.658,9.848,2,2,37.02709961,-93.31929779,-1
R_XZDNCNWw0Lu9zoZ,Default Response Set,Anonymous,,,71,0,8/28/17 17:59,8/28/17 18:08,1,53035,5.005,5.005,6.274,1,1,199.545,199.545,201.399,1,1,18.912,105.462,106.79,18,4,5,4,5,5,6,5,5,5,5,5,5,5,4,5,1.657,1.657,2.655,1,1,1.906,13.671,14.445,15,1,3,7,2,5,4,6,4,1,3,6,3,2,2,5,1.214,1.214,2.039,1,3,4.306,5.189,28.751,2,5,1,4,5,3,6,4,7,1,6,1,3,3,6,3,14.238,14.238,15.052,1,2,37.21530151,-93.29820251,-1
R_2D0k1DWg6quQ1Ev,Default Response Set,Anonymous,,,57,0,8/28/17 19:00,8/28/17 19:08,1,53099,6.107,6.107,16.589,1,1,249.785,249.785,338.561,1,1,3.543,54.102,54.87,15,7,5,5,4,5,7,7,7,4,7,6,6,5,6,7,1.744,2.459,3.646,2,1,5.467,16.698,19.775,16,4,4,6,2,3,3,5,3,3,4,5,4,3,5,2,2.615,2.615,4.538,1,3,0,0,20.288,0,6,2,4,1,7,2,4,6,2,1,2,3,5,6,6,2.261,2.261,3.435,1,2,37.21530151,-93.29820251,-1
R_rcC9lSgzP5hxTIB,Default Response Set,Anonymous,,,19,0,8/28/17 19:37,8/28/17 19:43,1,52984,3.997,57.936,59.222,5,1,25.332,100.424,132.874,5,1,8.662,56.399,58.765,17,3,7,4,7,6,7,6,7,7,7,6,6,7,6,7,4.487,4.487,6.534,1,1,2.856,28.355,29.186,16,3,2,5,4,2,5,4,6,4,4,3,4,7,6,5,1.817,1.817,3.341,1,3,59.252,60.534,60.55,2,5,6,7,3,1,4,5,1,7,1,7,4,6,3,6,1.366,2.382,2.388,3,2,37.21530151,-93.29820251,-1
R_1ob7e2Fn9KGNmob,Default Response Set,Anonymous,,,72,0,8/28/17 20:12,8/28/17 20:19,1,53207,77.239,77.239,79.294,1,1,156.521,156.521,158.166,1,1,6.823,75.841,77.012,16,7,6,7,6,6,6,6,7,6,7,6,7,6,6,7,3.281,3.281,5.05,1,1,2.871,24.003,31.72,16,4,3,2,2,2,7,1,4,3,6,5,2,3,4,1,1.904,1.904,3.414,1,3,0,0,54.503,0,6,6,3,5,5,7,4,5,5,5,7,6,7,7,6,2.095,2.095,3.925,1,2,37.20610046,-93.30319977,-1
R_31cOJ6dkUqQ4VRJ,Default Response Set,Anonymous,,,73,0,8/28/17 21:42,8/28/17 21:49,1,52244,4.276,5.216,6.275,3,1,2.901,16.9,223.665,17,1,3.3,74.438,75.483,50,4,6,5,5,5,7,6,7,6,4,4,7,3,5,7,1.357,1.373,2.276,2,1,8.585,54.962,55.007,37,3,5,3,1,5,5,4,4,4,7,3,2,2,2,5,1.737,1.765,2.854,2,3,6.586,18.136,19.313,7,2,7,5,6,4,3,6,6,6,6,5,1,3,2,5,2.298,2.314,3.648,2,2,41.84829712,-87.65170288,-1
R_2hIKGEOSOR0PBa9,Default Response Set,Anonymous,,,56,0,8/28/17 22:05,8/28/17 22:15,1,51948,153.328,153.328,163.215,1,1,276.744,276.744,278.594,1,1,10.257,66.791,69.393,15,5,6,5,6,6,6,6,6,5,7,5,6,7,6,7,1.827,1.827,4.26,1,1,7.93,37.796,38.968,18,4,4,6,3,7,5,2,3,3,2,4,1,5,4,6,2.807,2.807,5.322,1,3,0,0,41.603,0,5,5,3,4,7,2,2,6,5,4,4,1,5,5,2,2.111,2.111,6.973,1,2,37.21530151,-93.29820251,-1
R_diiH2yVj04yXv2h,Default Response Set,Anonymous,,,67,0,8/28/17 23:18,8/28/17 23:24,1,52561,5.504,5.504,7.242,1,1,168.969,168.969,170.875,1,1,8.123,78.643,80.169,16,5,5,5,5,2,5,5,4,7,7,3,7,7,5,7,2.424,2.424,3.854,1,1,5.613,27.455,29.685,15,5,5,4,3,3,3,4,4,1,7,7,7,6,3,5,2.262,2.262,3.346,1,3,2.526,45.434,52.176,2,4,6,4,2,5,4,6,5,4,3,3,7,6,4,4,1.886,1.886,3.429,1,2,37.21530151,-93.29820251,-1
R_vCBjQla1D1ecztv,Default Response Set,Anonymous,,,57,0,8/29/17 7:21,8/29/17 7:28,1,52987,7.236,7.236,8.413,1,1,197.419,197.419,199.404,1,1,6.313,87.433,88.228,18,4,7,4,7,5,6,6,7,7,5,5,6,7,6,7,1.741,1.741,3.524,1,1,1.352,23.898,26.1,21,2,6,4,1,3,1,7,3,4,2,2,4,7,3,2,1.575,1.575,3.192,1,3,12.686,12.686,28.807,1,5,7,2,4,3,2,2,2,6,2,1,5,2,5,3,2.483,2.483,4.082,1,2,37.21530151,-93.29820251,-1
R_Q6xAjVFa81mxG1P,Default Response Set,Anonymous,,,74,0,8/29/17 12:17,8/29/17 12:23,1,53272,7.06,7.06,8.84,1,1,240.774,240.774,244.466,1,1,8.234,43.312,44.666,16,2,2,2,1,2,2,2,1,1,2,2,1,1,1,1,2.28,2.28,3.932,1,1,3.609,16.963,19.306,15,3,7,4,4,2,1,6,4,5,3,2,2,3,6,5,1.738,1.738,2.933,1,3,6.408,22.218,24.166,15,3,1,2,4,5,3,5,4,3,2,4,3,5,5,2,3.061,4.108,4.58,2,2,37.14889526,-93.26139832,-1
R_3lQAwadVz4EOPZX,Default Response Set,Anonymous,,,56,0,8/29/17 12:48,8/29/17 12:59,1,52012,48.377,100.651,104.386,11,1,393.714,393.714,394.478,1,1,18.489,142.064,142.9,19,6,7,5,3,4,7,6,7,5,5,4,6,6,5,7,1.589,1.589,2.568,1,1,5.167,19.863,21.03,17,4,5,2,5,4,2,4,6,1,2,3,2,3,7,7,2.147,2.147,3.978,1,3,0,0,12.414,0,2,4,4,4,6,5,7,6,5,6,5,6,6,7,4,1.536,1.536,2.667,1,2,37.21530151,-93.29820251,-1
R_1NtgeqYKwYr8RPR,Default Response Set,Anonymous,,,56,0,8/29/17 13:39,8/29/17 13:47,1,52147,166.589,166.589,177.246,1,1,14.568,138.538,154.552,3,1,6.196,94,95.179,18,5,6,6,6,6,6,5,4,5,7,6,7,7,7,7,1.699,1.699,2.839,1,1,4.567,25.516,26.942,16,2,5,7,3,6,3,4,1,6,3,4,5,5,2,1,1.407,1.407,3.088,1,3,13.283,13.283,14.501,1,2,6,7,1,2,1,1,5,4,5,6,6,6,6,3,1.42,1.42,7.024,1,2,37.21530151,-93.29820251,-1
R_3JacVrxcuZiV9bZ,Default Response Set,Anonymous,,,19,0,8/29/17 13:38,8/29/17 13:47,1,52095,24.547,100.819,102.393,3,1,14.525,225.672,298.087,4,1,6.876,64.784,66.112,22,7,7,5,6,6,6,7,7,5,4,5,6,7,5,7,1.462,2.262,3.772,2,1,6.709,29.959,38.092,16,1,5,2,3,1,6,3,5,6,2,3,7,2,5,4,2.089,2.089,4.096,1,3,0,0,29.402,0,7,5,3,6,3,4,1,5,4,7,5,2,2,7,6,2.047,2.047,3.694,1,2,37.21530151,-93.29820251,-1
R_1JK5Yv1sgLRV8d2,Default Response Set,Anonymous,,,24,0,8/29/17 13:57,8/29/17 14:05,1,53260,6.649,71.866,73.935,2,1,260.885,260.885,264.221,1,1,6.511,56.355,57.878,18,6,6,4,3,5,5,6,6,7,5,4,6,3,6,7,2.175,2.175,3.699,1,1,7.179,28.252,30.06,17,1,4,6,4,2,5,7,5,3,2,5,6,3,4,2,2.513,2.513,3.969,1,3,41.222,41.222,43.4,1,2,2,1,4,3,3,7,1,3,3,7,1,5,1,7,2.342,2.342,4.096,1,2,37.21530151,-93.29820251,-1
